Datum,Type,Source,Beschreibung,Change,Total,Credit
"2 Feb, 2016",2 Market Transactions,Wallet,Steam Community Market,+CHF 0.61,0.61,Ja
"31 Jan, 2016",2 Market Transactions,Wallet,Steam Community Market,+CHF 0.14,0.14,Ja
"29 Jan, 2016",Market Transaction,Wallet,Steam Community Market,+CHF 0.58,0.58,Ja
"28 Jan, 2016",Market Transaction,Wallet,Steam Community Market,-CHF 0.61,0.61,Nein
"28 Jan, 2016",Market Transaction,Wallet,Steam Community Market,+CHF 0.60,0.60,Ja
"20 Jan, 2016",Market Transaction,Wallet,Steam Community Market,+CHF 0.07,0.07,Ja
"18 Jan, 2016",Market Transaction,Wallet,Steam Community Market,+CHF 0.04,0.04,Ja
"14 Jan, 2016",Market Transaction,Wallet,Steam Community Market,-CHF 0.72,0.72,Nein
"8 Jan, 2016",5 Market Transactions,Wallet,Steam Community Market,+CHF 0.24,0.24,Ja
"31 Dec, 2015",4 Market Transactions,Wallet,Steam Community Market,+CHF 0.15,0.15,Ja
"24 Dec, 2015",Market Transaction,Wallet,Steam Community Market,-CHF 0.28,0.28,Nein
"24 Dec, 2015",2 Market Transactions,Wallet,Steam Community Market,+CHF 0.33,0.33,Ja
"22 Dec, 2015",Market Transaction,Wallet,Steam Community Market,+CHF 0.28,0.28,Ja
"16 Dec, 2015",Market Transaction,Wallet,Steam Community Market,-CHF 4.20,4.20,Nein
"12 Dec, 2015",Market Transaction,Wallet,Steam Community Market,-CHF 1.--,1.,Nein
"9 Dec, 2015",2 Market Transactions,Wallet,Steam Community Market,-CHF 8.92,8.92,Nein
"1 Dec, 2015",5 Market Transactions,Wallet,Steam Community Market,+CHF 10.53,10.53,Ja
"30 Nov, 2015",2 Market Transactions,Wallet,Steam Community Market,+CHF 0.55,0.55,Ja
"23 Nov, 2015",3 Market Transactions,Wallet,Steam Community Market,+CHF 0.85,0.85,Ja
"30 Sep, 2015",Market Transaction,Wallet,Steam Community Market,"+0,94€",,Nein
"26 Sep, 2015",Market Transaction,Wallet,Steam Community Market,"-1,--€",,Nein
"21 Sep, 2015",Market Transaction,Wallet,Steam Community Market,"+2,09€",,Nein
"9 Sep, 2015",Market Transaction,Wallet,Steam Community Market,"-0,74€",,Nein
"8 Sep, 2015",Market Transaction,Wallet,Steam Community Market,"+0,11€",,Nein
"6 Sep, 2015",Market Transaction,Wallet,Steam Community Market,"+0,08€",,Nein
"4 Sep, 2015",5 Market Transactions,Wallet,Steam Community Market,"+0,51€",,Nein
"4 Sep, 2015",Market Transaction,Wallet,Steam Community Market,"-0,77€",,Nein
"4 Sep, 2015",4 Market Transactions,Wallet,Steam Community Market,"+0,44€",,Nein
"4 Sep, 2015",Market Transaction,Wallet,Steam Community Market,"-5,22€",,Nein
"4 Sep, 2015",6 Market Transactions,Wallet,Steam Community Market,"+3,29€",,Nein
"26 Aug, 2015",2 Market Transactions,Wallet,Steam Community Market,"+0,22€",,Nein
"16 Aug, 2015",2 Market Transactions,Wallet,Steam Community Market,"-2,07€",,Nein
"16 Aug, 2015",Market Transaction,Wallet,Steam Community Market,"+0,16€",,Nein
"9 Aug, 2015",Market Transaction,Wallet,Steam Community Market,"-4,08€",,Nein
"8 Aug, 2015",Market Transaction,Wallet,Steam Community Market,"+0,25€",,Nein
"2 Aug, 2015",Market Transaction,Wallet,Steam Community Market,"+0,26€",,Nein
"31 Jul, 2015",Market Transaction,Wallet,Steam Community Market,"+0,35€",,Nein
"23 Jul, 2015",Market Transaction,Wallet,Steam Community Market,"-0,41€",,Nein
"21 Jul, 2015",4 Market Transactions,Wallet,Steam Community Market,"+0,95€",,Nein
"15 Jul, 2015",2 Market Transactions,Wallet,Steam Community Market,"-1,09€",,Nein
"9 Jul, 2015",Market Transaction,Wallet,Steam Community Market,"+0,49€",,Nein
"7 Jul, 2015",Market Transaction,Wallet,Steam Community Market,"+0,49€",,Nein
"7 Jul, 2015",Market Transaction,Wallet,Steam Community Market,"-1,98€",,Nein
"6 Jul, 2015",Market Transaction,Wallet,Steam Community Market,"+3,65€",,Nein
"6 Jul, 2015",Market Transaction,Wallet,Steam Community Market,"-0,49€",,Nein
"2 Jul, 2015",3 Market Transactions,Wallet,Steam Community Market,"+0,76€",,Nein
"29 Jun, 2015",2 Market Transactions,Wallet,Steam Community Market,"+0,82€",,Nein
"26 Jun, 2015",Market Transaction,Wallet,Steam Community Market,"+0,41€",,Nein
"26 Jun, 2015",Market Transaction,Wallet,Steam Community Market,"-4,85€",,Nein
"25 Jun, 2015",2 Market Transactions,Wallet,Steam Community Market,"+0,63€",,Nein
"15 Jun, 2015",2 Market Transactions,Wallet,Steam Community Market,"+0,70€",,Nein
"15 Jun, 2015",Market Transaction,Wallet,Steam Community Market,"+0,83€",,Nein
"15 Jun, 2015",Market Transaction,Wallet,Steam Community Market,"-5,84€",,Nein
"14 Jun, 2015",3 Market Transactions,Wallet,Steam Community Market,"+2,09€",,Nein
"5 Jun, 2015",Market Transaction,Wallet,Steam Community Market,"+0,36€",,Nein
"3 Jun, 2015",Market Transaction,Wallet,Steam Community Market,"-0,41€",,Nein
"3 Jun, 2015",Market Transaction,Wallet,Steam Community Market,"+2,17€",,Nein
"2 Jun, 2015",3 Market Transactions,Wallet,Steam Community Market,"-7,51€",,Nein
"2 Jun, 2015",2 Market Transactions,Wallet,Steam Community Market,"+0,25€",,Nein
"30 May, 2015",Market Transaction,Wallet,Steam Community Market,"+1,67€",,Nein
"27 May, 2015",3 Market Transactions,Wallet,Steam Community Market,"+5,63€",,Nein
"3 Apr, 2015",Market Transaction,Wallet,Steam Community Market,"+7,04€",,Nein
"11 Mar, 2015",Market Transaction,Wallet,Steam Community Market,"-7,55€",,Nein
"8 Mar, 2015",Market Transaction,Wallet,Steam Community Market,"+0,44€",,Nein
"3 Mar, 2015",Purchase,Wallet,Dark Souls™ II Crown of the Sunken King,"-9,99€",,Nein
"26 Feb, 2015",2 Market Transactions,Wallet,Steam Community Market,"+11,48€",,Nein
"25 Feb, 2015",2 Market Transactions,Wallet,Steam Community Market,"-5,25€",,Nein
"24 Feb, 2015",2 Market Transactions,Wallet,Steam Community Market,"+9,85€",,Nein
"23 Feb, 2015",7 Market Transactions,Wallet,Steam Community Market,"-3,47€",,Nein
"23 Feb, 2015",Market Transaction,Wallet,Steam Community Market,"+1,57€",,Nein
"23 Feb, 2015",Market Transaction,Wallet,Steam Community Market,"-4,91€",,Nein
"21 Feb, 2015",Market Transaction,Wallet,Steam Community Market,"+1,90€",,Nein
"21 Feb, 2015",Market Transaction,Wallet,Steam Community Market,"-0,59€",,Nein
"20 Feb, 2015",Market Transaction,Wallet,Steam Community Market,"+0,17€",,Nein
"18 Feb, 2015",2 Market Transactions,Wallet,Steam Community Market,"+4,74€",,Nein
"14 Feb, 2015",Market Transaction,Wallet,Steam Community Market,"-2,26€",,Nein
"6 Feb, 2015",Market Transaction,Wallet,Steam Community Market,"-0,12€",,Nein
"29 Jan, 2015",Market Transaction,Wallet,Steam Community Market,"-0,15€",,Nein
"22 Jan, 2015",2 Market Transactions,Wallet,Steam Community Market,"+0,23€",,Nein
"12 Jan, 2015",Market Transaction,Wallet,Steam Community Market,"+2,70€",,Nein
"22 Dec, 2014",In-Game Purchase,Wallet,Counter-Strike 2,"-0,79€",,Nein
"22 Dec, 2014",Market Transaction,Wallet,Steam Community Market,"+0,08€",,Nein
"1 Dec, 2014",Market Transaction,Wallet,Steam Community Market,"+0,08€",,Nein
"29 Nov, 2014",Market Transaction,Wallet,Steam Community Market,"+0,09€",,Nein
"23 Nov, 2014",2 Market Transactions,Wallet,Steam Community Market,"+1,47€",,Nein
"23 Nov, 2014",Market Transaction,Wallet,Steam Community Market,"-2,41€",,Nein
"10 Nov, 2014",2 Market Transactions,Wallet,Steam Community Market,"+0,54€",,Nein
"2 Nov, 2014",4 Market Transactions,Wallet,Steam Community Market,"+0,80€",,Nein
"25 Oct, 2014",Market Transaction,Wallet,Steam Community Market,"+0,19€",,Nein
"11 Oct, 2014",4 Market Transactions,Wallet,Steam Community Market,"+1,27€",,Nein
"19 Sep, 2014",Market Transaction,Wallet,Steam Community Market,"+0,07€",,Nein
"29 Aug, 2014",Market Transaction,Wallet,Steam Community Market,"-1,66€",,Nein
"10 Aug, 2014",5 Market Transactions,Wallet,Steam Community Market,"+1,18€",,Nein
"3 Aug, 2014",Market Transaction,Wallet,Steam Community Market,"-1,11€",,Nein
